table,var,alt_table,alt_var
ird_post_code_historic,ir_apc_ta_code,ird_post_code,
ird_post_code,snz_ird_uid,ird_post_code_historic,
ird_post_code_historic,snz_ird_uid,ird_post_code,
ird_post_code,snz_uid,ird_post_code_historic,
ird_post_code_historic,snz_uid,ird_post_code,
ird_pts,ir_pts_expense_claim_amt,ird_pts_historic,
ird_pts_historic,ir_pts_expense_claim_amt,ird_pts,
ird_pts,ir_pts_family_assist_entmnt_amt,ird_pts_historic,
ird_pts_historic,ir_pts_family_assist_entmnt_amt,ird_pts,
ird_pts,ir_pts_gross_dividend_amt,ird_pts_historic,
ird_pts_historic,ir_pts_gross_dividend_amt,ird_pts,
ird_pts,ir_pts_gross_interest_amt,ird_pts_historic,
ird_pts_historic,ir_pts_gross_interest_amt,ird_pts,
ird_pts,ir_pts_gross_nz_super_amt,ird_pts_historic,
ird_pts_historic,ir_pts_gross_nz_super_amt,ird_pts,
ird_pts,ir_pts_gross_salary_wages_amt,ird_pts_historic,
ird_pts_historic,ir_pts_gross_salary_wages_amt,ird_pts,
ird_pts,ir_pts_return_year_nbr,ird_pts_historic,
ird_pts_historic,ir_pts_return_year_nbr,ird_pts,
ird_pts,ir_pts_snz_unique_nbr,ird_pts_historic,
ird_pts_historic,ir_pts_snz_unique_nbr,ird_pts,
ird_pts,ir_pts_student_loan_liable_income_amt,ird_pts_historic,
ird_pts_historic,ir_pts_student_loan_liable_income_amt,ird_pts,
ird_pts,ir_pts_tax_on_taxable_income_amt,ird_pts_historic,
ird_pts_historic,ir_pts_tax_on_taxable_income_amt,ird_pts,
ird_pts,ir_pts_taxable_income_amt,ird_pts_historic,
ird_pts_historic,ir_pts_taxable_income_amt,ird_pts,
ird_pts,ir_pts_total_rebate_amt,ird_pts_historic,
ird_pts_historic,ir_pts_total_rebate_amt,ird_pts,
ird_pts,snz_ird_uid,ird_pts_historic,
ird_pts_historic,snz_ird_uid,ird_pts,
ird_pts,snz_uid,ird_pts_historic,
ird_pts_historic,snz_uid,ird_pts,
msd_borrowing,msd_sla_gender_snz_code,,msd_sla_sex_snz_code
msd_borrowing,msd_sla_sex_snz_code,,msd_sla_gender_snz_code
